ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
42978	ENSG00000144554.10	1	1	0.899	0.734	0.587	0.707
79276	ENSG00000132256.18	0.94	1	1	0.709	0.826	0.965
12909	ENSG00000006468.13	0.73	0.587	0.58	0.196	0.372	0.457
40100	ENSG00000152582.13	0.604	0.73	0.706	1	1	1
14093	ENSG00000132716.18	0.681	0.737	0.779	0.925	0.902	0.934
16858	ENSG00000140105.17	0.427	0.229	0.373	0.941	0.843	0.963
19665	ENSG00000160323.18	1	1	1	0.739	0.833	0.43
5821	ENSG00000142541.16	0.848	0.769	0.886	1	1	1
14098	ENSG00000132716.18	0.486	0.53	0.482	0.803	0.81	0.871
25277	ENSG00000100599.15	0.476	0.491	0.51	1	0.634	0.933
76135	ENSG00000117691.9	0.732	0.794	0.872	0.929	0.954	0.944
57514	ENSG00000162994.15	1	1	0.844	0.245	0.486	0.619
7318	ENSG00000109920.12	0.063	0.062	0.133	0.344	0.175	0.234
13398	ENSG00000161010.14	0.252	0.193	0.214	0.054	0.079	0.092
29821	ENSG00000117010.15	0.657	0.59	0.418	1	1	0.834
62639	ENSG00000105793.15	0.741	0.762	0.828	0.957	0.935	0.983
59090	ENSG00000165490.12	1	1	1	0.887	0.815	0.638
66442	ENSG00000188157.14	0.033	0	0	0.501	0.527	0
21805	ENSG00000013288.8	0.35	0.418	0.473	0.038	0	0.265
36283	ENSG00000101972.18	0.469	0.447	0.548	0.189	0.138	0.215
44143	ENSG00000143374.16	0.889	0.918	0.739	0.966	1	1
7253	ENSG00000171735.18	0.781	0.824	0.821	0.527	0.565	0.733
74977	ENSG00000112290.12	0.336	0.336	0.371	0.101	0.168	0.109
45169	ENSG00000074266.19	0.941	0.978	0.99	0.895	0.778	0.924
65389	ENSG00000060237.16	0.783	0.779	0.767	1	1	1
11680	ENSG00000153113.23	0.287	0.376	0.707	1	1	1
2292	ENSG00000171634.16	0.834	0.812	0.867	1	1	0.964
63465	ENSG00000127990.15	0.66	0.78	0.749	0.85	0.845	0.943
938	ENSG00000169398.19	0.251	0.413	0.339	0.183	0.064	0.123
6599	ENSG00000130731.15	0.909	0.895	0.824	0.98	1	1
52785	ENSG00000150628.6	0.477	0.827	0.733	1	1	1
58348	ENSG00000169241.17	0.879	0.775	0.687	0.523	0.58	0.349
64427	ENSG00000074582.12	0.937	1	1	0.612	0.653	0.922
62064	ENSG00000065534.18	0.758	0.638	0.872	1	1	1
10087	ENSG00000124596.16	0.83	0.892	0.812	0.961	1	0.973
58962	ENSG00000058063.15	0.617	1	1	1	0.212	0.097
34423	ENSG00000219481.10	0.816	0.697	0.547	0.939	1	0.85
45761	ENSG00000163946.13	0.802	0.926	0.954	1	1	1
54135	ENSG00000114956.19	0.115	0.107	0.119	0.226	0.197	0.422
33449	ENSG00000052795.12	0.105	0.139	0.128	0.501	0.858	0.354
69215	ENSG00000204580.13	1	0.719	1	0.195	0.184	1
16251	ENSG00000013523.9	0.018	0.18	0.21	0	0.036	0
36544	ENSG00000167220.11	0.032	0.065	0	0.329	0.259	0.086
24038	ENSG00000235109.7	1	1	1	0.496	0.646	0.758
55910	ENSG00000188234.13	0	0	0.599	1	1	1
30508	ENSG00000169239.12	1	0.82	1	0.778	0.549	0.24
2802	ENSG00000113971.19	0.098	0	0	0.178	0.125	0.695
2949	ENSG00000167302.10	0.583	1	0.425	1	1	1
56260	ENSG00000112715.21	0.262	0.332	0.35	0.513	0.574	0.394
58867	ENSG00000160055.19	0.31	0.509	0.838	0.061	0.172	0.102
56613	ENSG00000182389.19	0.497	0.477	0.431	0.769	1	1
20105	ENSG00000115459.17	0.74	0.687	0.627	0.243	0.283	0.403
68453	ENSG00000152256.13	0.496	0.705	0.772	0.97	0.789	0.985
39956	ENSG00000168385.17	0.943	0.871	0.735	0.307	0.514	0.261
8977	ENSG00000129197.14	0.447	0.449	0.529	0.273	0.319	0.336
21656	ENSG00000141198.14	0.812	0.872	0.893	1	1	1
79815	ENSG00000268163.1	1	1	0.638	0.468	0.209	0.468
27256	ENSG00000070501.11	0.847	0.779	0.935	1	1	1
20337	ENSG00000204920.10	0.249	0.19	0.209	0.026	0	0
16766	ENSG00000196792.11	0.426	0.368	0.37	0.207	0.106	0.237
39105	ENSG00000111011.17	1	1	1	0.242	0.309	0.899
5662	ENSG00000010626.14	0.764	0.578	0.813	0.916	1	1
42543	ENSG00000100003.17	1	1	1	0.896	0.724	0.918
33975	ENSG00000184792.15	0.916	1	1	0.903	0.562	0.713
1349	ENSG00000185158.12	1	1	1	0.899	0.679	0.88
27632	ENSG00000172766.18	1	0.939	0.946	0.674	0.853	0.785
23225	ENSG00000151292.17	0.121	0.099	0.118	0.234	0.271	0.254
58358	ENSG00000109686.17	0.127	0.191	0.134	0.35	0.237	0.461
73415	ENSG00000166435.15	0.621	0.373	0.498	1	0.806	1
67568	ENSG00000198420.9	0.265	1	1	0.149	0.165	0.241
71503	ENSG00000112851.14	0.539	0.53	0.633	0.17	0	0.17
7517	ENSG00000055147.18	0.359	0.342	0.305	0.176	0.137	0.137
74605	ENSG00000115661.13	0.976	0.965	0.963	0.881	0.904	0.817
31953	ENSG00000089063.14	0	0	0	0.055	0.298	0.177
15703	ENSG00000148153.13	0.177	0.167	0.147	0.038	0.042	0.065
60875	ENSG00000166377.19	0	0	0	0.379	0.091	0.131
57511	ENSG00000162994.15	1	1	0.876	0.319	0.585	0.679
16892	ENSG00000144395.17	1	0.797	0.835	0.29	0.507	0.252
33250	ENSG00000072609.17	1	1	1	0.585	0.902	0.729
28717	ENSG00000106327.12	1	1	1	0.723	0.394	1
69064	ENSG00000023287.12	0.196	0.167	0.147	0.109	0.043	0.043
69222	ENSG00000204580.13	1	0.719	1	0.171	0.2	1
22983	ENSG00000127337.6	0.86	0.95	0.925	0.724	0.653	0.842
45011	ENSG00000136003.15	0.605	0.434	0.451	0.083	0.211	0.234
11530	ENSG00000112983.17	0.442	0.563	0.439	0.639	0.81	0.78
38039	ENSG00000167508.11	0.13	0.083	0.267	0.874	0.748	0.426
26278	ENSG00000109685.17	0.201	0.177	0.209	0.446	0.588	0.29
14436	ENSG00000181938.13	0.187	0.372	0.235	0.026	0	0.084
80500	ENSG00000087302.8	0.195	0.437	0.368	1	0.744	0.907
17152	ENSG00000130023.15	0.079	0.101	0.195	0.589	0.45	0.323
47930	ENSG00000138386.16	0.344	0.644	0.52	0.829	0.874	0.789
71353	ENSG00000114062.18	0.865	0.818	0.678	1	1	1
6490	ENSG00000168958.19	0.049	0.082	0.189	0.44	0.205	0.25
64305	ENSG00000215114.8	0.264	0.124	0.275	0.584	0.51	0.491
