gene1	gene2	coefficient	p.value
SCAF4	SMN2	-1	0
RBPMS	RBPMS	1	0
RBPMS	SON	1	0
RBPMS	U2AF1	-1	0
RBPMS	RP9	1	0
RBPMS	UPF3A	-1	0
RBPMS	ERN1	-1	0
SON	SON	1	0
SON	U2AF1	-1	0
SON	RP9	1	0
SON	UPF3A	-1	0
SON	ERN1	-1	0
U2AF1	U2AF1	1	0
U2AF1	RP9	-1	0
U2AF1	UPF3A	1	0
U2AF1	ERN1	1	0
ZNF326	ZNF326	1	0
ZNF326	SLU7	1	0
ZNF326	SNRNP35	1	0
ZNF326	RBM11	1	0
ZNF326	SMN2	1	0
SLU7	SLU7	1	0
SLU7	SNRNP35	1	0
SLU7	RBM11	1	0
SLU7	SMN2	1	0
RP9	RP9	1	0
RP9	UPF3A	-1	0
RP9	ERN1	-1	0
UPF3A	UPF3A	1	0
UPF3A	ERN1	1	0
ERN1	ERN1	1	0
SNRNP35	SNRNP35	1	0
SNRNP35	RBM11	1	0
SNRNP35	SMN2	1	0
RBM11	RBM11	1	0
RBM11	SMN2	1	0
SMN2	SMN2	1	0
