MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
ENSG00000019144.18	652	405	592	5503	4810	2269
ENSG00000019169.10	0	0	0	3	11	0
ENSG00000019186.9	0	0	0	6	60	28
ENSG00000019485.13	174	94	148	313	132	110
ENSG00000019505.7	0	0	1	0	0	0
ENSG00000019549.9	6	19	16	209	209	1
ENSG00000019582.14	4	0	1	2	0	9
ENSG00000019991.15	5	1	1	2	1	0
ENSG00000019995.6	1035	1212	856	1452	1589	1697
ENSG00000020129.15	506	328	311	950	458	555
ENSG00000020181.17	147	119	152	412	322	0
ENSG00000020219.9	0	0	0	1	1	0
ENSG00000020256.19	1067	721	964	384	292	412
ENSG00000020426.10	1035	1344	880	696	783	700
ENSG00000020577.13	1766	2395	1291	1839	1841	1239
ENSG00000020633.18	788	438	700	2	5	0
ENSG00000020922.12	3887	4777	3745	1478	1321	1691
ENSG00000021300.13	382	248	252	2625	1607	3169
ENSG00000021355.12	1398	1765	1435	28	8	1
ENSG00000021461.16	4	4	4	0	2	0
ENSG00000021488.12	4	2	7	1	1	0
ENSG00000021574.11	832	1112	990	901	1007	1088
ENSG00000021645.18	0	1	0	61	18	2
ENSG00000021762.19	380	199	321	298	252	145
ENSG00000021776.10	1981	2369	2069	2493	2542	2632
ENSG00000021826.14	313	545	451	1105	1399	37
ENSG00000021852.12	0	0	0	0	0	0
ENSG00000022267.16	2913	2695	2038	4325	4955	734
ENSG00000022277.12	1920	1565	1604	1873	1166	1462
ENSG00000022355.16	0	0	0	0	0	0
ENSG00000022556.15	0	0	0	0	0	0
ENSG00000022567.9	184	139	80	178	184	84
ENSG00000022840.15	2555	2910	2416	4157	3072	2353
ENSG00000022976.15	228	216	297	443	344	246
ENSG00000023041.11	952	1341	1226	1493	1463	2669
ENSG00000023171.16	932	185	1302	29	87	1
ENSG00000023191.16	1871	877	1163	942	524	592
ENSG00000023228.13	4160	5191	4623	5089	4433	6261
ENSG00000023287.12	5607	7961	4223	2337	3599	1666
ENSG00000023318.7	2485	2826	2630	2713	3198	1243
ENSG00000023330.14	1515	1745	1589	1614	1308	1157
ENSG00000023445.13	1056	1671	1700	22	200	14
ENSG00000023516.8	1575	1937	1619	4117	4523	1976
ENSG00000023572.8	294	418	439	276	184	432
ENSG00000023608.4	410	654	481	272	327	280
ENSG00000023697.12	651	991	1167	1031	864	996
ENSG00000023734.10	6566	9281	7341	4434	4040	6655
ENSG00000023839.10	24	32	60	85	58	31
ENSG00000023892.10	48	9	18	0	2	3
ENSG00000023902.13	266	188	378	1301	679	605
ENSG00000023909.9	2965	6289	3201	537	284	776
ENSG00000024048.10	3928	4366	2494	1168	1531	1732
ENSG00000024422.11	1916	1325	1249	2615	1466	27
ENSG00000024526.16	2684	4671	3224	1749	1579	2483
ENSG00000024862.17	449	490	314	135	180	163
ENSG00000025039.14	1607	1403	877	326	497	938
ENSG00000025156.12	1046	1218	874	681	736	1318
ENSG00000025293.16	1868	2085	1857	1763	2150	1718
ENSG00000025423.11	145	123	181	57	123	27
ENSG00000025434.18	136	82	151	146	92	53
ENSG00000025708.13	265	100	244	1	1	0
ENSG00000025770.18	1082	696	1021	1154	558	972
ENSG00000025772.7	3723	3120	3293	1250	835	1537
ENSG00000025796.13	3998	4969	3764	2387	2927	4856
ENSG00000025800.13	3100	3785	3031	2585	2408	1529
ENSG00000026025.15	56727	46595	41042	113573	105792	2838
ENSG00000026036.21	36	11	33	38	25	50
ENSG00000026103.21	963	1031	1148	264	293	0
ENSG00000026297.15	269	234	202	37	80	84
ENSG00000026508.17	8924	8766	5763	3959	400	2
ENSG00000026559.13	515	230	370	8	2	2
ENSG00000026652.13	550	562	493	2762	2144	2177
ENSG00000026751.16	0	1	1	0	0	0
ENSG00000026950.16	1388	1328	989	480	810	1090
ENSG00000027001.9	3800	5732	5915	498	361	399
ENSG00000027075.14	285	428	381	9	2	2
ENSG00000027644.4	2	0	6	3	1	0
ENSG00000027697.13	814	1080	653	626	747	874
ENSG00000027847.13	329	255	256	365	184	141
ENSG00000027869.11	1	0	3	0	0	2
ENSG00000028116.16	1206	1804	1654	1	0	7
ENSG00000028137.18	12	7	10	91	63	42
ENSG00000028203.17	1082	1437	1530	2242	2479	1425
ENSG00000028277.21	107	111	53	3	0	63
ENSG00000028310.17	1705	1555	1895	1962	1345	1495
ENSG00000028528.14	2154	1929	1725	4058	3631	18374
ENSG00000028839.9	820	856	607	303	312	746
ENSG00000029153.14	4809	7568	5799	775	530	798
ENSG00000029363.16	4302	5439	3883	5114	4399	7027
ENSG00000029364.11	2073	2484	1913	3414	2840	2239
ENSG00000029534.19	12	3	38	406	294	1
ENSG00000029559.6	0	0	0	0	2	0
ENSG00000029639.10	851	1007	687	167	216	337
ENSG00000029725.16	2576	3031	2290	3239	3831	5185
ENSG00000029993.14	2412	2997	1942	4201	3377	3839
ENSG00000030066.13	2296	2705	2511	3677	3196	4011
ENSG00000030110.12	1026	723	792	482	203	350
ENSG00000030304.13	0	0	0	1	0	1
ENSG00000030419.16	41	142	71	240	487	1656
ENSG00000030582.17	2075	936	1234	1855	1011	810
ENSG00000031003.10	802	945	711	2203	1536	1857
ENSG00000031081.10	566	569	842	2608	2218	3274
ENSG00000031691.6	1701	2681	1851	951	780	855
ENSG00000031698.12	6664	5884	6345	5311	3633	3377
ENSG00000031823.14	1078	779	845	1543	800	849
ENSG00000032219.18	1038	1325	764	1763	2211	1333
ENSG00000032389.12	1239	862	1185	738	341	627
ENSG00000032444.15	1169	402	716	254	179	182
ENSG00000032742.17	298	351	432	778	890	941
ENSG00000033011.11	187	183	242	714	250	386
ENSG00000033030.13	836	1215	1145	1019	1161	1029
ENSG00000033050.7	1938	1898	2254	4792	2386	3711
ENSG00000033100.16	318	314	527	2649	1704	631
ENSG00000033122.18	1	8	0	0	0	235
ENSG00000033170.16	853	1750	563	1054	1107	980
ENSG00000033178.12	3560	5059	3706	2863	3135	3119
ENSG00000033327.12	892	1061	682	3711	2894	1298
ENSG00000033627.16	1223	1159	1165	1639	1548	1053
ENSG00000033800.13	1109	1235	980	1380	1747	1541
ENSG00000033867.16	4893	7976	3944	2520	2881	5550
ENSG00000034053.14	1133	614	764	1439	1131	1083
ENSG00000034152.18	1206	996	985	545	434	331
ENSG00000034239.10	0	0	0	2	3	0
ENSG00000034510.5	21209	17433	14853	27837	14048	9315
ENSG00000034533.11	252	259	323	258	256	218
ENSG00000034677.12	2926	3671	2342	1772	2670	561
ENSG00000034693.14	471	560	429	175	192	306
ENSG00000034713.7	1003	1112	968	3977	2812	1527
ENSG00000034971.16	0	0	0	0	0	0
ENSG00000035115.21	1470	2051	1804	1050	1322	1553
ENSG00000035141.7	1232	1677	1483	1521	1125	2286
ENSG00000035403.17	6254	6229	5255	6805	7195	2282
ENSG00000035499.12	739	904	508	1148	878	2371
ENSG00000035664.11	56	33	58	114	61	38
ENSG00000035681.7	1936	2771	1943	1527	1374	669
ENSG00000035687.9	1479	2362	2073	866	760	2021
ENSG00000035720.7	0	0	1	0	0	0
ENSG00000035862.12	4342	4047	4558	19086	19206	3833
ENSG00000035928.15	4614	4588	3030	2989	3055	4059
ENSG00000036054.12	2139	1883	1796	1096	1242	1139
ENSG00000036257.12	3881	4418	4286	3405	3131	2985
ENSG00000036448.9	46	26	70	53	49	3
ENSG00000036473.6	0	0	1	2	2	1
ENSG00000036530.8	14	5	13	5	14	6
ENSG00000036549.12	1206	1535	1236	1688	1828	2335
ENSG00000036565.14	0	0	0	97	47	95
ENSG00000036672.15	72	56	89	200	181	331
ENSG00000036828.15	0	0	0	0	0	0
ENSG00000037042.8	767	489	589	691	691	533
ENSG00000037241.7	1347	1282	1024	799	504	897
ENSG00000037280.15	1014	473	830	0	0	0
ENSG00000037474.14	2418	2913	3862	3361	2586	4587
ENSG00000037637.10	654	663	662	1204	1061	674
ENSG00000037749.11	680	858	640	1337	1384	955
ENSG00000037757.13	1027	792	1144	642	722	868
ENSG00000037897.16	240	299	313	383	211	217
ENSG00000037965.5	52	83	53	85	87	0
ENSG00000038002.8	221	260	371	366	305	579
ENSG00000038210.12	1221	1549	813	1046	864	1174
ENSG00000038219.12	3380	3319	2103	3271	3747	3479
ENSG00000038274.16	2738	3648	2029	1995	1949	2114
ENSG00000038295.7	6	17	40	0	0	383
